Date,Close/Last,Volume,Open,High,Low
06/20/2025,$1231.41,5348193,$1234.45,$1248.4999,$1224.349
06/18/2025,$1222.29,2281047,$1229.99,$1241.9999,$1220.50
06/17/2025,$1220.67,1892126,$1219.95,$1232.3569,$1216.09
06/16/2025,$1225.35,2112797,$1212.20,$1226.25,$1212.20
06/13/2025,$1212.15,2210253,$1206.59,$1220.62,$1201.89
06/12/2025,$1215.03,2084602,$1222.59,$1230.00,$1211.965
06/11/2025,$1219.88,2382280,$1202.60,$1228.29,$1196.0101
06/10/2025,$1203.62,4454447,$1227.52,$1227.52,$1180.61
06/09/2025,$1224.46,2403117,$1238.88,$1238.88,$1221.57
06/06/2025,$1241.475,2556956,$1259.41,$1259.9999,$1235.5501
06/05/2025,$1250.52,2821797,$1240.60,$1262.81,$1237.2901
06/04/2025,$1239.66,2359381,$1220.735,$1242.56,$1219.88
06/03/2025,$1217.94,2363762,$1219.87,$1229.57,$1211.18
06/02/2025,$1218.98,2294216,$1201.20,$1219.3999,$1196.2501
05/30/2025,$1207.23,4696756,$1198.33,$1211.81,$1180.925
05/29/2025,$1184.86,3303079,$1208.00,$1209.00,$1176.28
05/28/2025,$1208.55,1855850,$1210.27,$1215.9101,$1206.02
05/27/2025,$1211.57,2920469,$1195.33,$1211.77,$1193.09
05/23/2025,$1185.39,2186483,$1184.00,$1191.45,$1179.44
