#Date;Value 18:50 MSK
2025-08-22;80.7498
2025-08-21;80.2548
2025-08-20;80.1045
2025-08-19;80.3466
2025-08-18;80.4256
2025-08-15;80.0224
2025-08-14;79.7653
2025-08-13;79.6032
2025-08-12;79.8714
2025-08-11;79.6677
2025-08-08;79.7796
2025-08-07;79.3847
2025-08-06;80.1914
2025-08-05;80.049
2025-08-04;79.6736
2025-08-01;80.3289
2025-07-31;80.3163
2025-07-30;81.8347
2025-07-29;82.2197
2025-07-28;79.5782
2025-07-25;79.5527
2025-07-24;78.8623
2025-07-23;78.4477
2025-07-22;78.0882
2025-07-21;78.3274
2025-07-18;78.3129
2025-07-17;78.1856
2025-07-16;77.9585
2025-07-15;77.9584
2025-07-14;78.3722
2025-07-11;77.8855
2025-07-10;77.9029
2025-07-09;78.1727
2025-07-08;78.1682
2025-07-07;78.7185
2025-07-04;78.8354
2025-07-03;78.7831
2025-07-02;78.654
2025-07-01;78.4181
2025-06-30;78.5284
2025-06-27;78.4685
2025-06-26;78.2117
2025-06-25;78.1959
2025-06-24;78.3892
2025-06-23;78.2923
2025-06-20;78.5016
2025-06-19;78.4839
2025-06-18;78.7174
2025-06-17;78.7135
2025-06-16;78.5067
2025-06-13;79.0028
2025-06-11;79.0028
2025-06-10;78.6003
2025-06-09;79.1543
2025-06-06;79.1703
2025-06-05;79.1272
2025-06-04;78.5025
2025-06-03;78.8549
2025-06-02;79.1285
2025-05-30;78.6171
2025-05-29;78.497
2025-05-28;79.6037
2025-05-27;79.6176
2025-05-26;79.6588
2025-05-23;79.7108
2025-05-22;79.7357
2025-05-21;79.753
2025-05-20;80.3075
2025-05-19;80.4137
2025-05-16;80.7689
2025-05-15;80.3134
2025-05-14;80.2237
2025-05-13;80.55
2025-05-12;80.8883
2025-05-08;80.8612
2025-05-07;80.8612
2025-05-06;80.9644
2025-05-05;81.9137
2025-05-02;81.4933
2025-04-30;81.4933
2025-04-29;81.5616
2025-04-28;82.5467
2025-04-25;82.6549
2025-04-24;82.8559
2025-04-23;82.3637
2025-04-22;81.462
2025-04-21;80.7597
2025-04-18;81.1371
2025-04-17;82.02
2025-04-16;82.5892
2025-04-15;82.3003
2025-04-14;82.7671
2025-04-11;84.004
2025-04-10;85.0159
2025-04-09;86.0923
2025-04-08;85.4641
2025-04-07;86.1891
2025-04-04;84.2774
2025-04-03;84.383
2025-04-02;84.5522
2025-04-01;84.8707
2025-03-31;85.4963
2025-03-28;83.6813
2025-03-27;83.8347
2025-03-26;84.2065
2025-03-25;84.193
2025-03-24;83.8737
2025-03-21;84.64
2025-03-20;84.3955
2025-03-19;82.8487
2025-03-18;81.5018
2025-03-17;84.3059
2025-03-14;85.5694
2025-03-13;86.619
2025-03-12;86.6204
2025-03-11;86.5669
2025-03-10;88.3872
2025-03-07;89.1362
2025-03-06;89.5724
2025-03-05;89.7878
2025-03-04;89.2448
2025-03-03;89.2497
2025-03-02;88.2568
2025-03-01;88.2568
2025-02-28;88.2568
2025-02-27;87.6967
2025-02-26;85.9279
2025-02-25;86.6318
2025-02-24;88.2065
2025-02-22;88.1676
2025-02-21;88.1676
2025-02-20;88.5103
2025-02-19;90.4268
2025-02-18;91.3398
2025-02-17;91.4347
2025-02-14;90.3099
2025-02-13;91.0313
2025-02-12;94.0485
2025-02-11;95.8024
2025-02-10;96.7821
2025-02-07;97.2762
2025-02-06;96.9104
2025-02-05;98.0556
2025-02-04;98.5336
2025-02-03;99.9433
2025-01-31;97.8107
2025-01-30;98.0062
2025-01-29;98.0126
2025-01-28;97.9658
2025-01-27;97.132
2025-01-24;98.2636
2025-01-23;99.0978
2025-01-22;98.2804
2025-01-21;99.9282
2025-01-20;101.9579
2025-01-17;102.4137
2025-01-16;102.3762
2025-01-15;102.8078
2025-01-14;103.438
2025-01-13;102.7081
2025-01-10;101.9146
2025-01-09;102.2911
2025-01-08;101.6797
2025-01-06;101.6797
2025-01-03;101.6797
