,Location,Starting a Business score,Procedure – Men (number),Time – Men (days),Cost – Men (% of income per capita),Procedure – Women (number),Time – Women (days),Cost – Women (% of income per capita),Paid-in min. capital (% of income per capita),Starting a Business rank
,Afghanistan,92.0,4,8,6.8,5,9,6.8,0.0,52
,Albania,91.8,5,4.5,10.8,5,4.5,10.8,0.0,53
,Algeria,78.0,12,18,11.3,12,18,11.3,0.0,152
,Angola,79.4,8,36,11.1,8,36,11.1,0.0,146
,Antigua and Barbuda,82.6,9,19,8.0,9,19,8.0,0.0,130
,Argentina,80.4,12,11.5,5.0,12,11.5,5.0,0.0,141
,Armenia,96.1,3,4,0.8,3,4,0.8,0.0,10
,Australia,96.6,3,2,0.7,3,2,0.7,0.0,7
,Austria,83.2,8,21,4.7,8,21,4.7,11.5,127
,Azerbaijan,96.2,3,3.5,1.2,3,3.5,1.2,0.0,9
,"Bahamas, The",87.0,7,11.5,11.0,7,11.5,11.0,0.0,94
,Bahrain,89.6,6,8,1.0,7,9,1.0,2.9,67
,Bangladesh,82.4,9,19.5,8.7,9,19.5,8.7,0.0,131
,Bangladesh - Chittagong,82.4,9,19.5,8.7,9,19.5,8.7,0.0,..
,Bangladesh - Dhaka,82.4,9,19.5,8.7,9,19.5,8.7,0.0,..
,Barbados,86.4,7,16,7.3,7,16,7.3,0.0,102
,Belarus,93.5,4,8.5,0.5,4,8.5,0.5,0.0,30
,Belgium,92.3,5,5,5.3,5,5,5.3,0.0,48
,Belize,72.0,9,48,34.3,9,48,34.3,0.0,166
,Benin,90.6,5,8,3.4,6,9,3.5,5.0,65
,Bhutan,86.4,8,12,3.7,8,12,3.7,0.0,103
,Bolivia,69.4,12,39.5,37.3,12,39.5,37.3,0.0,175
,Bosnia and Herzegovina,60.0,13,80,13.7,13,80,13.7,10.2,184
,Botswana,76.2,9,48,0.6,9,48,0.6,0.0,159
,Brazil,81.3,11,17,4.2,11,17,4.2,0.0,138
,Brazil - Rio de Janeiro,80.8,10,21.5,5.1,10,21.5,5.1,0.0,..
,Brazil - São Paulo,81.6,11,13.5,3.6,11,13.5,3.6,0.0,..
,Brunei Darussalam,94.9,3,5,1.1,4,6,1.1,0.0,16
,Bulgaria,85.4,7,23,1.0,7,23,1.0,0.0,113
,Burkina Faso,88.2,3,13,42.8,3,13,42.8,6.3,88
,Burundi,92.9,4,5,12.3,4,5,12.3,0.0,44
,Cabo Verde,84.5,9,9,13.0,9,9,13.0,0.0,121
,Cambodia,52.4,9,99,53.4,9,99,53.4,70.2,187
,Cameroon,86.3,5,13,24.6,6,14,24.9,12.0,104
,Canada,98.2,2,1.5,0.3,2,1.5,0.3,0.0,3
,Central African Republic,63.2,10,22,127.8,10,22,127.8,35.2,180
,Chad,52.5,8,58,169.3,8,58,169.3,25.3,186
,Chile,91.4,6,4,2.7,6,4,2.7,0.0,57
,China,94.1,4,9,1.1,4,9,1.1,0.0,27
,China - Beijing,95.1,3,8,0.7,3,8,0.7,0.0,..
,China - Shanghai,93.3,4,9,1.4,4,9,1.4,0.0,..
,Colombia,87.0,7,10,14.1,7,10,14.1,0.0,95
,Comoros,76.5,9,16,54.2,9,16,54.2,17.2,158
,"Congo, Dem. Rep.",91.6,4,7,16.3,4,7,16.3,4.6,54
,"Congo, Rep.",65.8,10,49,62.2,11,50,62.2,2.3,179
,Costa Rica,79.9,10,23,9.6,10,23,9.6,0.0,144
,Côte d'Ivoire,93.7,4,6,2.7,4,6,2.7,2.7,29
,Croatia,85.3,7,19.5,6.2,7,19.5,6.2,5.5,114
,Cyprus,92.0,5,6,5.6,5,6,5.6,0.0,50
,Czech Republic,82.1,9,24.5,1.1,9,24.5,1.1,0.0,134
,Denmark,92.7,5,3.5,0.2,5,3.5,0.2,10.2,45
,Djibouti,84.3,6,14,39.7,6,14,39.7,0.0,123
,Dominica,89.3,5,12,15.2,5,12,15.2,0.0,71
,Dominican Republic,85.4,7,16.5,13.7,7,16.5,13.7,0.1,112
,Ecuador,69.1,11,48.5,33.0,11,48.5,33.0,0.0,177
,"Egypt, Arab Rep.",87.8,5,12,20.3,6,13,20.3,0.0,90
,El Salvador,78.6,9,16.5,43.3,9,16.5,43.3,2.6,148
,Equatorial Guinea,61.0,16,33,59.1,16,33,59.1,22.8,183
,Eritrea,52.9,13,84,21.3,13,84,21.3,93.6,185
,Estonia,95.4,3,3.5,1.0,3,3.5,1.0,13.1,14
,Eswatini,77.2,12,21.5,10.7,12,21.5,10.7,0.2,155
,Ethiopia,71.7,11,32,45.4,11,32,45.4,0.0,168
,Fiji,73.6,11,40,14.5,11,40,14.5,0.0,163
,Finland,93.5,3,13,0.7,3,13,0.7,5.9,31
,France,93.1,5,4,0.7,5,4,0.7,0.0,37
,Gabon,87.0,7,10,13.3,7,10,13.3,2.4,96
,"Gambia, The",84.6,6,8,49.5,6,8,49.5,0.0,119
,Georgia,99.6,1,1,2.1,1,1,2.1,0.0,2
,Germany,83.7,9,8,6.5,9,8,6.5,29.8,125
,Ghana,85.0,8,13,12.3,8,13,12.3,1.0,116
,Greece,96.0,3,4,1.5,3,4,1.5,0.0,11
,Grenada,88.0,6,12,14.4,6,12,14.4,0.0,89
,Guatemala,86.8,6,15,17.3,6,15,17.3,0.6,99
,Guinea,84.5,6,15,33.8,6,15,33.8,5.3,122
,Guinea-Bissau,75.5,8,8,88.8,9,9,88.8,5.8,161
,Guyana,85.6,7,18,9.4,7,18,9.4,0.0,111
,Haiti,36.4,12,97,179.7,12,97,179.7,11.0,189
,Honduras,71.4,11,42,28.1,11,42,28.1,0.0,170
,"Hong Kong SAR, China",98.2,2,1.5,0.5,2,1.5,0.5,0.0,5
,Hungary,88.2,6,7,4.5,6,7,4.5,36.2,87
,Iceland,90.6,5,11.5,1.9,5,11.5,1.9,7.4,64
,India,81.6,10,18,7.2,10,18,7.2,0.0,136
,India - Delhi,82.0,10,17,5.3,10,17,5.3,0.0,..
,India - Mumbai,81.2,10,18,9.3,10,18,9.3,0.0,..
,Indonesia,81.2,11,13,5.7,11,13,5.7,0.0,140
,Indonesia - Jakarta,82.2,11,10,5.7,11,10,5.7,0.0,..
,Indonesia - Surabaya,77.7,12,22,5.7,12,22,5.7,0.0,..
,"Iran, Islamic Rep.",67.8,10,72,1.1,11,73,1.1,0.0,178
,Iraq,77.3,8,26,34.2,9,27,34.2,14.6,154
,Ireland,94.4,3,11,0.1,3,11,0.1,0.0,23
,Israel,94.1,3,11,2.7,3,11,2.7,0.0,28
,Italy,86.8,7,11,13.8,7,11,13.8,0.0,98
,Jamaica,97.4,2,3,4.2,2,3,4.2,0.0,6
,Japan,86.1,8,11,7.5,8,11,7.5,0.0,106
,Japan - Osaka,86.3,8,10.5,7.5,8,10.5,7.5,0.0,..
,Japan - Tokyo,86.0,8,11.5,7.5,8,11.5,7.5,0.0,..
,Jordan,84.5,7,12,23.3,8,13,23.3,0.1,120
,Kazakhstan,94.4,4,5,0.2,4,5,0.2,0.0,22
,Kenya,82.7,7,23,22.4,7,23,22.4,0.0,129
,Kiribati,78.4,7,31,34.9,7,31,34.9,11.9,149
,"Korea, Rep.",93.4,3,8,14.6,3,8,14.6,0.0,33
