hotel_id,date,city,accommodation_type,stars,rating,distance,price,lnprice
1,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.3,3.1,172,5.147494476813453
1,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.3,3.1,122,4.804021044733257
1,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.3,3.1,114,4.736198448394496
3,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.1,1.5,118,4.770684624465665
3,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.1,1.5,217,5.37989735354046
3,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.1,1.5,117,4.762173934797756
4,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.5,1.9,115,4.74493212836325
4,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.5,1.9,71,4.2626798770413155
5,2017-NOV-weekend,Amsterdam,Hotel,3.5,4.0,1.8,922,6.826545223556594
5,2017-NOV-weekday,Amsterdam,Hotel,3.5,4.0,1.8,690,6.536691597591305
5,2018-JUNE-weekend,Amsterdam,Hotel,3.5,4.0,1.8,696,6.54534966033442
5,2017-DEC-holiday,Amsterdam,Hotel,3.5,4.0,1.8,690,6.536691597591305
6,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.1,1.9,127,4.844187086458591
6,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.1,1.9,127,4.844187086458591
6,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.1,1.9,186,5.225746673713202
7,2017-NOV-weekday,Amsterdam,Hotel,3.5,4.4,0.8,167,5.117993812416755
7,2017-DEC-holiday,Amsterdam,Hotel,3.5,4.4,0.8,177,5.176149732573829
8,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.8,0.9,207,5.332718793265369
9,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.4,1.0,218,5.384495062789089
9,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.4,1.0,375,5.926926025970411
9,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.4,1.0,197,5.2832037287379885
9,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.4,1.0,328,5.793013608384144
10,2017-NOV-weekday,Amsterdam,Apartment,4.0,3.7,1.8,143,4.962844630259907
11,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.7,2.2,97,4.574710978503383
11,2017-NOV-weekend,Amsterdam,Hotel,3.0,3.7,2.2,167,5.117993812416755
11,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.7,2.2,100,4.605170185988092
12,2018-JUNE-weekend,Amsterdam,Hotel,2.0,3.0,1.2,185,5.220355825078324
12,2017-NOV-weekday,Amsterdam,Hotel,2.0,3.0,1.2,92,4.5217885770490405
12,2017-DEC-holiday,Amsterdam,Hotel,2.0,3.0,1.2,157,5.056245805348308
14,2017-NOV-weekday,Amsterdam,Hotel,4.0,3.7,1.7,130,4.867534450455582
14,2017-DEC-holiday,Amsterdam,Hotel,4.0,3.7,1.7,141,4.948759890378168
15,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.5,1.7,387,5.958424693029782
15,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.5,1.7,132,4.882801922586371
15,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.5,1.7,161,5.081404364984463
16,2017-NOV-weekday,Amsterdam,Hotel,5.0,4.4,1.7,207,5.332718793265369
16,2018-JUNE-weekend,Amsterdam,Hotel,5.0,4.4,1.7,254,5.537334267018537
16,2017-DEC-holiday,Amsterdam,Hotel,5.0,4.4,1.7,207,5.332718793265369
16,2017-NOV-weekend,Amsterdam,Hotel,5.0,4.4,1.7,242,5.488937726156687
17,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.1,1.7,134,4.897839799950911
17,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.1,1.7,172,5.147494476813453
17,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.1,1.7,433,6.07073772800249
17,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.1,1.7,208,5.337538079701318
18,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.7,1.8,91,4.51085950651685
18,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.7,1.8,128,4.852030263919617
19,2017-NOV-weekend,Amsterdam,Hotel,5.0,4.1,1.7,219,5.389071729816501
19,2017-DEC-holiday,Amsterdam,Hotel,5.0,4.1,1.7,156,5.049856007249537
19,2017-NOV-weekday,Amsterdam,Hotel,5.0,4.1,1.7,149,5.003946305945459
20,2017-DEC-holiday,Amsterdam,Hotel,3.5,4.5,2.2,102,4.624972813284271
20,2018-JUNE-weekend,Amsterdam,Hotel,3.5,4.5,2.2,114,4.736198448394496
20,2017-NOV-weekday,Amsterdam,Hotel,3.5,4.5,2.2,102,4.624972813284271
21,2018-JUNE-weekend,Amsterdam,Hotel,3.5,3.9,2.4,242,5.488937726156687
21,2017-DEC-holiday,Amsterdam,Hotel,3.5,3.9,2.4,97,4.574710978503383
21,2017-NOV-weekday,Amsterdam,Hotel,3.5,3.9,2.4,103,4.634728988229636
22,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.5,2.3,153,5.030437921392435
22,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.5,2.3,175,5.1647859739235145
22,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.5,2.3,134,4.897839799950911
24,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.5,2.9,184,5.214935757608986
