,Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,female,w,lnw
21,43,954001919079770,January,AL,2847.5801,826.92,40,44,1,,31,2,7,0,0,"Native, Born In US",63,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,20.673,3.0288285010431806
84,199,678011962039080,January,AL,2424.1925,1000.0,56,44,2,,57,2,7,0,0,"Native, Born In US",63,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,,Employed-At Work,1,17.857142857142858,2.882403588246988
171,401,20902093001906,January,AK,429.0975,1000.0,40,44,1,,25,2,7,0,0,"Native, Born In US",94,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,25.0,3.2188758248682006
358,784,140603073808694,January,AZ,4664.7207,1057.69,40,44,1,,54,2,1,0,0,"Native, Born In US",86,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,26.44225,3.274963109698682
492,1097,985989670786005,January,AR,1876.4358,1288.46,40,44,1,,61,1,1,0,0,"Native, Born In US",71,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,0,32.2115,3.472323531647176
607,1367,74770360994195,January,CA,2937.0417,1307.69,40,44,1,,43,2,1,2,3,"Native, Born In US",93,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,1,32.69225,3.4871380467554407
890,1972,700609960450687,January,CA,3303.7238,1854.16,40,44,1,,51,2,1,2,10,"Native, Born In US",93,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,46.354,3.8363075881803677
1172,2617,207906930896246,January,CA,2776.7982,1107.69,40,45,1,,39,2,1,2,3,"Native, Born In US",93,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,27.69225,3.3211525906531154
1305,2923,679520952590970,January,CA,3122.8466,1153.84,40,44,1,,46,2,1,2,4,"Native, Born In US",93,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,28.845999999999997,3.3619713351613183
1539,3486,946779870509008,January,CA,3285.5299,961.0,40,44,1,,28,2,1,1,1,"Native, Born In US",93,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1,24.025,3.1790949548563563
1735,3854,899710637400670,January,CO,1692.5003,317.3,36,44,1,,34,2,6,3,3,"Native, Born In US",84,Elementary and secondary schools (6111),2310,Government - Local,No,Yes,Employed-At Work,1,8.81388888888889,2.17632876013304
1913,4228,958039913079320,January,CT,1240.1555,1030.0,40,44,1,,36,2,1,2,5,"Native, Born In US",CT,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1,25.75,3.248434627109745
1971,4325,107700670594249,January,CT,1294.7677,884.0,40,44,1,,33,2,7,0,0,"Native, Born In US",CT,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,22.1,3.095577608523707
2069,4540,977098479900643,January,CT,1204.0516,1698.5,50,45,1,,46,2,1,2,10,"Native, Born In US",CT,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,33.97,3.5254777821724925
2140,4691,103093706084031,January,DE,484.0664,1192.3,45,44,1,,35,2,1,3,8,"Native, Born In US",51,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,26.495555555555555,3.2769770040417665
2219,4869,290529430239100,January,DE,576.7156,1096.15,40,44,1,,29,2,7,0,0,"Native, Born In US",51,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,27.403750000000002,3.310679865343238
2315,5081,82301310795977,January,DC,267.9199,769.0,40,45,1,8.0,47,2,7,1,4,"Foreign Born, US Cit By Naturalization",53,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,19.225,2.9562115153917077
