,date,p_SP500,p_MSFT,year,month
2,1997-12-31,970.429993,16.15625,1997,12
3,1998-01-02,975.039978,16.390625,1998,1
4,1998-01-05,977.070007,16.296875,1998,1
5,1998-01-06,966.580017,16.390625,1998,1
6,1998-01-07,964.0,16.195313,1998,1
7,1998-01-08,956.049988,16.3125,1998,1
8,1998-01-09,927.690002,15.875,1998,1
9,1998-01-12,939.210022,16.1875,1998,1
10,1998-01-13,952.119995,16.515625,1998,1
11,1998-01-14,957.940002,16.390625,1998,1
12,1998-01-15,950.72998,16.539063,1998,1
13,1998-01-16,961.51001,16.90625,1998,1
14,1998-01-20,978.599976,17.226563,1998,1
15,1998-01-21,970.809998,17.125,1998,1
16,1998-01-22,963.039978,17.328125,1998,1
17,1998-01-23,957.590027,17.28125,1998,1
18,1998-01-26,956.950012,17.71875,1998,1
19,1998-01-27,969.02002,18.148438,1998,1
20,1998-01-28,977.460022,18.625,1998,1
21,1998-01-29,985.48999,18.53125,1998,1
22,1998-01-30,980.280029,18.648438,1998,1
23,1998-02-02,1001.27002,19.359375,1998,2
24,1998-02-03,1006.0,19.484375,1998,2
25,1998-02-04,1006.900024,19.601563,1998,2
26,1998-02-05,1003.539978,19.429688,1998,2
27,1998-02-06,1012.460022,19.765625,1998,2
28,1998-02-09,1010.73999,19.648438,1998,2
29,1998-02-10,1019.01001,19.90625,1998,2
30,1998-02-11,1020.01001,19.867188,1998,2
31,1998-02-12,1024.140015,19.84375,1998,2
32,1998-02-13,1020.090027,19.6875,1998,2
33,1998-02-17,1022.76001,19.296875,1998,2
34,1998-02-18,1032.079956,19.328125,1998,2
35,1998-02-19,1028.280029,19.359375,1998,2
36,1998-02-20,1034.209961,19.390625,1998,2
37,1998-02-23,1038.140015,20.40625,1998,2
38,1998-02-24,1030.560059,20.53125,1998,2
39,1998-02-25,1042.900024,21.234375,1998,2
40,1998-02-26,1048.670044,21.375,1998,2
41,1998-02-27,1049.339966,21.1875,1998,2
42,1998-03-02,1047.699951,20.828125,1998,3
43,1998-03-03,1052.02002,21.125,1998,3
44,1998-03-04,1047.329956,20.578125,1998,3
45,1998-03-05,1035.050049,20.015625,1998,3
46,1998-03-06,1055.689941,20.6875,1998,3
47,1998-03-09,1052.310059,19.898438,1998,3
48,1998-03-10,1064.25,20.375,1998,3
49,1998-03-11,1068.469971,20.171875,1998,3
50,1998-03-12,1069.920044,20.46875,1998,3
51,1998-03-13,1068.609985,20.59375,1998,3
52,1998-03-16,1079.27002,20.5,1998,3
53,1998-03-17,1080.449951,20.09375,1998,3
54,1998-03-18,1085.52002,20.4375,1998,3
55,1998-03-19,1089.73999,20.5,1998,3
56,1998-03-20,1099.160034,20.453125,1998,3
57,1998-03-23,1095.550049,20.96875,1998,3
58,1998-03-24,1105.650024,21.234375,1998,3
59,1998-03-25,1101.930054,22.203125,1998,3
60,1998-03-26,1100.800049,22.0625,1998,3
61,1998-03-27,1095.439941,21.953125,1998,3
62,1998-03-30,1093.599976,21.984375,1998,3
63,1998-03-31,1101.75,22.375,1998,3
64,1998-04-01,1108.150024,22.59375,1998,4
65,1998-04-02,1120.01001,22.828125,1998,4
66,1998-04-03,1122.699951,23.25,1998,4
67,1998-04-06,1121.380005,22.484375,1998,4
68,1998-04-07,1109.550049,21.8125,1998,4
69,1998-04-08,1101.650024,22.234375,1998,4
70,1998-04-09,1110.670044,22.25,1998,4
71,1998-04-13,1109.689941,22.15625,1998,4
72,1998-04-14,1115.75,22.109375,1998,4
73,1998-04-15,1119.319946,22.84375,1998,4
74,1998-04-16,1108.170044,22.921875,1998,4
75,1998-04-17,1122.719971,23.03125,1998,4
76,1998-04-20,1123.650024,23.65625,1998,4
77,1998-04-21,1126.670044,23.71875,1998,4
78,1998-04-22,1130.540039,24.71875,1998,4
