index,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer,price,lnprice,year,age,lnodometer,LE,XLE,SE,cond_excellent,cond_good,cond_likenew,cylind6,chicago,agesq,agecu,odometersq
2,chicago,chicago city,2015 Toyota_ Camry_,excellent,other,Missing,gas,3.5721,,,automatic,sedan,1,14850,9.6057549,2015,3,1.2731537,0,0,0,1,0,0,0,1,9,27,45.579633110360994
3,chicago,chicago city,2016 TOYOTA CAMRY,good,Missing,fwd,gas,1.3152,,,automatic,sedan,1,15630,9.6569471,2016,2,0.27398875,0,0,0,0,1,0,0,1,4,8,2.2749685678079996
4,chicago,chicago city,1993 toyota camry,good,6 cylinders,fwd,gas,18.7,red,full-size,automatic,sedan,0,850,6.7452364,1993,25,2.9285235,0,0,0,0,1,0,1,1,625,15625,6539.2029999999995
6,chicago,chicago city,1998 toyota camry le,good,Missing,Missing,gas,16.82425880432129,,,automatic,Missing,0,1600,7.377759,1998,20,2.8228219,1,0,0,0,1,0,0,1,400,8000,4762.2020889461655
7,chicago,chicago city,1998 Toyota Camry,good,Missing,Missing,gas,16.82425880432129,,,automatic,Missing,0,1500,7.3132205,1998,20,2.8228219,0,0,0,0,1,0,0,1,400,8000,4762.2020889461655
8,chicago,chicago city,1999 toyota camry,good,4 cylinders,fwd,gas,20.2,,,automatic,sedan,0,1650,7.4085307,1999,19,3.0056827,0,0,0,0,1,0,0,1,361,6859,8242.408
9,chicago,chicago city,2000 toyota camry le,excellent,4 cylinders,fwd,gas,10.7,white,mid-size,automatic,sedan,0,2295,7.7384882,2000,18,2.3702438,1,0,0,1,0,0,0,1,324,5832,1225.0429999999997
10,chicago,chicago city,2002 toyota camry solara,good,6 cylinders,fwd,gas,16.0,black,,automatic,Missing,0,1650,7.4085307,2002,16,2.7725887,0,0,0,0,1,0,1,1,256,4096,4096.0
11,chicago,chicago city,2002 toyota camry,good,Missing,Missing,gas,14.32672119140625,,,automatic,Missing,0,3500,8.1605186,2002,16,2.6621263,0,0,0,0,1,0,0,1,256,4096,2940.630299918323
12,chicago,chicago city,2003 Toyota CAMRY XLE,good,Missing,Missing,gas,14.08167171478271,white,,automatic,Missing,0,1100,7.0030656,2003,15,2.6448741,0,1,0,0,1,0,0,1,225,3375,2792.303664362353
13,chicago,chicago city,2003 toyota camry,good,4 cylinders,Missing,gas,11.9,,,automatic,Missing,0,3800,8.2427559,2003,15,2.4765384,0,0,0,0,1,0,0,1,225,3375,1685.159
14,chicago,chicago city,2004 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,16.7,,,automatic,Missing,0,2950,7.9895606,2004,14,2.8154087,0,1,0,1,0,0,0,1,196,2744,4657.463
15,chicago,chicago city,2005 toyota camry LE,excellent,6 cylinders,4wd,gas,12.0451,grey,full-size,automatic,sedan,0,4200,8.3428402,2005,13,2.488658,1,0,0,1,0,0,1,1,169,2197,1747.5565160938509
17,chicago,chicago city,2007 toyota camry,good,4 cylinders,fwd,gas,11.62693023681641,silver,full-size,automatic,sedan,0,4500,8.4118328,2007,11,2.4533241,0,0,0,0,1,0,0,1,121,1331,1571.7924557992637
18,chicago,chicago city,2007 Toyota camry,good,Missing,Missing,gas,11.62693023681641,,,automatic,Missing,0,4000,8.2940493,2007,11,2.4533241,0,0,0,0,1,0,0,1,121,1331,1571.7924557992637
19,chicago,chicago city,2007 Toyota Camry SE,excellent,4 cylinders,fwd,gas,10.2,grey,mid-size,automatic,Missing,0,6000,8.6995144,2007,11,2.3223877,0,0,1,1,0,0,0,1,121,1331,1061.2079999999999
20,chicago,chicago city,2007 toyota camry xle,good,Missing,Missing,gas,11.62693023681641,,,automatic,Missing,0,5999,8.6993484,2007,11,2.4533241,0,1,0,0,1,0,0,1,121,1331,1571.7924557992637
21,chicago,chicago city,2008 toyota camry,good,4 cylinders,fwd,gas,6.58,,,automatic,Missing,0,7700,8.9489756,2008,10,1.8840348,0,0,0,0,1,0,0,1,100,1000,284.890312
22,chicago,chicago city,2009 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,11.33,grey,mid-size,automatic,sedan,0,7200,8.8818359,2009,9,2.427454,0,0,1,1,0,0,0,1,81,729,1454.419637
23,chicago,chicago city,2009 toyota camry xle,excellent,Missing,Missing,gas,16.45036315917969,,,automatic,Missing,0,6400,8.7640533,2009,9,2.8003476,0,1,0,1,0,0,0,1,81,729,4451.705946854319
25,chicago,chicago city,2010 toyota camry le,good,Missing,Missing,gas,14.66399955749512,,,automatic,Missing,0,2000,7.6009026,2010,8,2.6853955,1,0,0,0,1,0,0,1,64,512,3153.2421014846914
26,chicago,chicago city,2013 toyota camry,excellent,4 cylinders,Missing,gas,21.3,white,compact,automatic,sedan,0,7000,8.8536654,2013,5,3.058707,0,0,0,1,0,0,0,1,25,125,9663.597000000002
27,chicago,chicago city,2014 Toyota Camry XLE,like new,4 cylinders,fwd,gas,4.1539,silver,mid-size,automatic,sedan,0,14900,9.6091166,2014,4,1.4240477,0,1,0,0,0,1,0,1,16,64,71.675067673819
28,chicago,chicago city,2009 Toyota Camry,like new,6 cylinders,fwd,gas,16.45036315917969,,,automatic,sedan,0,2000,7.6009026,2009,9,2.8003476,0,0,0,0,0,1,1,1,81,729,4451.705946854319
29,chicago,chicago city,2010 toyota camry xle,excellent,6 cylinders,fwd,gas,14.66399955749512,black,full-size,automatic,sedan,0,3030,8.0163183,2010,8,2.6853955,0,1,0,1,0,0,1,1,64,512,3153.2421014846914
30,chicago,chicago city,2004 Toyota Camry,excellent,4 cylinders,Missing,gas,13.0756,grey,,automatic,sedan,0,3100,8.0391569,2004,14,2.5707479,0,0,0,1,0,0,0,1,196,2744,2235.552531121216
32,chicago,chicago city,2002 toyota camry le,like new,6 cylinders,Missing,gas,12.1,grey,,automatic,sedan,0,3600,8.1886892,2002,16,2.4932055,1,0,0,0,0,1,1,1,256,4096,1771.561
